p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
1,932;8,052;4,82;630,5;613;23;119059,43;5455;11,2;6,4;953,41;28,92
1,935;8,086;4,82;630,5;613;23;119098,82;5455;11,2;6,4;953,36;28,97
1,929;8,183;4,809;630,75;613;23;119090,94;5455;11,2;6,4;953,35;28,89
1,938;7,854;4,823;630,5;613;23;119102,76;5455;11,2;6,4;953,41;28,97
1,938;8,238;4,809;630,5;613;23;119126,41;5455;11,2;6,4;953,36;28,92
1,938;8,049;4,805;630,5;613;23;119181,63;5468;11,41;6,53;953,39;28,97
1,938;7,793;4,805;630,5;613;23;119157,95;5468;11,41;6,53;953,36;28,89
1,935;8;4,813;630,25;613;23;119150,06;5468;11,41;6,53;953,4;28,97
1,932;8,101;4,82;630;613;23;119118,52;5468;11,41;6,53;953,33;28,92
1,935;7,957;4,813;630,25;613;23;119102,76;5468;11,41;6,53;953,37;28,92
1,939;7,854;4,827;630,25;613;23;119154,01;5468;11,41;6,53;953,38;28,97
1,933;8,059;4,813;630,25;613;23;119185,57;5468;11,2;6,41;953,34;28,92
1,937;8,08;4,816;630,25;613;23;119189,51;5468;11,2;6,41;953,36;28,92
1,935;7,732;4,823;630;613;23;119177,67;5468;11,2;6,41;953,33;28,97
1,935;7,872;4,816;630;613;23;119079,12;5468;11,2;6,41;953,37;28,92
1,934;7,808;4,82;630;612,75;23;119043,69;5468;11,2;6,41;953,38;28,89
1,929;8,056;4,823;630;612,75;23;119079,12;5468;11,2;6,41;953,36;28,92
1,932;7,969;4,834;629,75;612,75;23;119118,52;5468;11,2;6,41;953,33;28,92
1,935;7,731;4,816;630;612,75;23;119138,23;5468;11,2;6,41;953,33;28,97
1,938;7,791;4,82;630;612,75;23;119177,67;5468;11,2;6,41;953,33;28,92
1,939;7,805;4,816;630;612,75;23;119205,3;5468;11,2;6,41;953,38;28,97
1,935;7,82;4,82;630,25;612,75;23;119228,98;5468;11,2;6,41;953,31;28,97
1,935;8,108;4,823;630,25;612,5;22,75;119236,88;5468;11,2;6,41;953,34;28,92
1,935;8,202;4,82;630,25;612,5;23;119217,14;5468;11,2;6,41;953,38;28,97
1,937;7,761;4,82;630,25;612,5;23;119252,68;5468;11,2;6,41;953,39;28,97
1,935;7,962;4,82;630,25;612,5;22,75;119240,83;5468;11,2;6,41;953,38;28,92
1,935;7,816;4,82;630,25;612,25;23;119280,34;5468;11,2;6,41;953,33;28,92
1,936;8,09;4,82;630,5;612,25;22,75;119236,88;5480;11,2;6,43;953,28;28,92
1,934;8,108;4,816;630,25;612,25;22,75;119169,78;5480;11,2;6,43;953,39;28,92
1,934;7,855;4,82;630;612,25;22,75;119106,7;5480;11,2;6,43;953,41;28,89
1,931;7,952;4,805;630;612,25;22,75;119098,82;5480;11,2;6,43;953,4;28,92
1,928;7,669;4,816;630;612,25;22,75;119083,06;5480;11,2;6,43;953,31;28,97
1,929;7,811;4,805;629,75;612,25;22,75;119047,62;5480;11,2;6,43;953,37;28,92
1,933;7,984;4,802;629,5;612,5;22,75;119063,38;5480;10,99;6,31;953,34;28,97
1,932;7,968;4,805;629,5;612,75;23;119102,76;5480;10,99;6,31;953,4;28,97
1,935;8,059;4,816;629,75;612,75;22,75;119110,64;5480;10,99;6,31;953,37;28,92
1,935;7,679;4,831;629,75;612,75;23;119150,06;5480;10,99;6,31;953,37;28,92
1,935;7,91;4,823;630;612,75;22,75;119165,84;5480;10,99;6,31;953,35;28,92
1,929;7,852;4,809;630;612,75;22,75;119201,35;5481;11,2;6,43;953,41;28,92
1,928;8,016;4,813;630;612,75;22,75;119177,67;5481;11,2;6,43;953,36;28,97
1,932;7,875;4,82;629,75;612,75;23;119094,88;5481;11,2;6,43;953,32;28,92
1,931;7,72;4,82;629,5;613;23;119130,35;5481;11,2;6,43;953,37;28,92
1,932;7,846;4,809;629,5;613;22,75;119106,7;5481;11,2;6,43;953,38;28,97
1,933;7,89;4,809;629,5;613,25;23;119083,06;5481;11,2;6,43;953,42;28,97
1,935;7,76;4,805;629,5;613,25;22,75;119059,43;5482;11,41;6,55;953,36;28,92
1,935;7,776;4,823;629,5;613,25;22,75;119079,12;5482;11,41;6,55;953,33;28,97
1,931;8,044;4,82;629,5;613,5;22,75;119047,62;5482;11,41;6,55;953,34;28,92
1,928;7,819;4,813;629,5;613,25;22,75;119055,49;5482;11,41;6,55;953,38;28,97
1,935;8,127;4,823;629,5;613,25;22,75;119090,94;5482;11,41;6,55;953,38;28,92
1,932;8,177;4,809;629,75;613,25;22,75;119098,82;5482;10,78;6,19;953,31;28,97
1,936;8,125;4,813;629,75;613,25;22,75;119087;5482;10,78;6,19;953,38;28,97
1,937;7,861;4,813;630;613;22,75;119110,64;5482;10,78;6,19;953,38;28,92
1,929;7,931;4,834;630;613;22,75;119181,63;5482;10,78;6,19;953,36;28,97
1,936;7,72;4,813;630;613;22,75;119189,51;5482;10,78;6,19;953,38;28,92
1,931;8,133;4,813;630;613,25;22,75;119217,14;5482;10,78;6,19;953,37;28,89
1,932;8,031;4,834;630;613,25;22,75;119221,09;5480;11,2;6,43;953,45;28,92
1,935;7,969;4,813;630;613;22,75;119221,09;5480;11,2;6,43;953,41;28,92
1,928;7,993;4,82;630;613;22,75;119197,41;5480;11,2;6,43;953,37;28,92
1,939;7,843;4,813;630;613;22,75;119185,57;5480;11,2;6,43;953,35;28,92
1,935;7,921;4,802;630;613;22,75;119154,01;5480;11,2;6,43;953,4;28,92
1,934;7,679;4,809;630;612,75;22,75;119118,52;5480;11,2;6,43;953,35;28,92
1,932;8,083;4,827;630;612,75;22,75;119067,3;5480;11,2;6,43;953,4;28,89
1,932;7,764;4,813;629,75;612,75;22,75;119090,94;5480;11,2;6,43;953,35;28,92
1,935;8,041;4,809;630;612,75;22,75;119102,76;5480;11,2;6,43;953,41;28,92
1,938;7,782;4,827;630;612,75;23;119114,59;5480;11,2;6,43;953,38;28,92
1,935;8;4,831;630,25;612,5;22,75;119102,76;5480;11,2;6,43;953,41;28,92
1,932;7,82;4,809;630,25;612,5;22,75;119055,49;5498;11,2;6,45;953,39;28,89
1,935;7,907;4,831;630,25;612,25;22,75;119043,69;5498;11,2;6,45;953,37;28,92
1,935;7,942;4,805;630,25;612,25;22,75;119043,69;5498;11,2;6,45;953,37;28,92
1,935;7,837;4,816;630,25;612;22,75;118988,6;5498;11,2;6,45;953,39;28,89
1,935;7,732;4,809;630,25;612,25;22,75;118984,66;5498;11,2;6,45;953,38;28,92
1,935;7,958;4,813;630,25;612,25;22,75;119055,49;5498;11,41;6,57;953,39;28,89
1,932;7,892;4,82;630,25;612,5;22,75;119059,43;5498;11,41;6,57;953,35;28,92
1,937;7,664;4,823;630,5;612,5;22,75;119071,24;5498;11,41;6,57;953,37;28,92
1,928;7,937;4,805;630,5;612,5;23;119106,7;5498;11,41;6,57;953,36;28,92
1,928;7,757;4,823;630,75;612,5;23;119079,12;5498;11,41;6,57;953,39;28,92
1,932;7,79;4,82;630,75;612,25;23;119110,64;5498;11,41;6,57;953,35;28,92
1,935;8;4,82;630,75;612,25;23;119122,46;5459;11,2;6,4;953,34;28,89
1,934;7,96;4,82;630,75;612,25;23;119150,06;5459;11,2;6,4;953,39;28,89
1,936;8,072;4,823;630,75;612,25;23;119154,01;5459;11,2;6,4;953,4;28,92
1,928;7,945;4,809;630,75;612,25;23;119102,76;5459;11,2;6,4;953,34;28,92
1,928;7,758;4,823;630,5;612,25;23;119067,3;5459;11,2;6,4;953,38;28,92
1,932;8,028;4,809;630,75;612,25;23;119059,43;5443;11,2;6,38;953,34;28,89
1,937;8,014;4,813;630,75;612,25;23;119098,82;5443;11,2;6,38;953,34;28,92
1,928;8,138;4,816;631;612,25;23,25;119114,59;5443;11,2;6,38;953,3;28,92
1,939;8,12;4,82;631;612,25;23;119142,17;5443;11,2;6,38;953,35;28,89
1,934;7,899;4,816;631;612,25;23;119126,41;5443;11,2;6,38;953,33;28,89
1,934;7,685;4,823;631;612,25;23;119138,23;5443;11,2;6,38;953,37;28,89
1,932;7,731;4,823;631,25;612,25;23;119150,06;5443;11,41;6,5;953,36;28,89
1,935;7,772;4,831;631,25;612,25;22,75;119146,12;5443;11,41;6,5;953,36;28,89
1,932;7,878;4,823;631,25;612;22,75;119157,95;5443;11,41;6,5;953,34;28,89
1,932;7,946;4,802;631,25;612;23;119106,7;5443;11,41;6,5;953,37;28,92
1,929;7,921;4,813;631;612,25;22,75;119106,7;5443;11,41;6,5;953,38;28,89
1,933;8,007;4,813;631;612,25;22,75;119075,19;5444;11,41;6,5;953,34;28,92
1,929;7,813;4,82;630,75;612,25;22,75;119031,88;5444;11,41;6,5;953,37;28,92
1,928;8,066;4,82;630,5;612,25;22,75;118988,6;5444;11,41;6,5;953,37;28,92
1,936;8,177;4,823;630,5;612,25;22,75;119067,3;5444;11,41;6,5;953,36;28,89
